robot,op,batch,brax,frax,grid_rbd,mjx,pinocchio,pyroffi_grid,pyroffi_jax,rbdl
g1,FD,1024,0.05614,,3.131e-06,0.09175,1.616e-14,3.153e-06,8.693e-05,1.619e-14
g1,FD,4096,0.03392,,3.478e-06,0.03392,4.742e-14,1.787e-06,0.0001691,4.822e-14
g1,ID,1,6.818e-05,4.274e-05,3.925e-08,6.818e-05,2.57e-16,3.925e-08,1.894e-07,3.856e-16
g1,ID,16,8.281e-05,0.0005097,2.14e-07,8.055e-05,4.937e-16,2.14e-07,3.285e-07,3.086e-16
g1,ID,64,0.0001366,0.000884,1.896e-07,0.0001376,3.641e-16,1.896e-07,3.109e-07,2.276e-16
g1,ID,256,0.0001417,0.0007824,1.588e-07,0.0001419,4.283e-16,1.588e-07,2.527e-07,4.283e-16
g1,ID,1024,0.0001143,0.0008516,2.144e-07,0.0001325,6.121e-16,2.144e-07,3.363e-07,3.06e-16
g1,ID,4096,0.0001107,0.0006831,2.411e-07,0.0001075,5.286e-16,2.411e-07,3.469e-07,4.111e-16
g1,MINV,1,,,1.01e-07,,,1.01e-07,,
g1,MINV,16,,,2.381e-07,,,1.799e-07,,
g1,MINV,64,,,2.431e-06,,,2.114e-07,,
g1,MINV,256,,,5.091e-06,,,5.091e-06,,
g1,MINV,1024,,,8.148e-06,,,7.008e-06,,
g1,MINV,4096,,,8.138e-06,,,6.383e-06,,
panda,CRBA,1,,0.0002514,2.344e-07,3.217e-07,5.36e-16,7.843e-08,3.483e-07,3.573e-16
panda,CRBA,16,,0.0009918,2.21e-07,6.821e-07,3.491e-16,2.21e-07,3.459e-07,3.491e-16
panda,CRBA,64,,0.001555,2.649e-07,7.984e-07,4.345e-16,2.28e-07,4.399e-07,4.345e-16
panda,CRBA,256,,0.001426,2.664e-07,7.961e-07,6.264e-16,2.96e-07,5.005e-07,5.22e-16
panda,CRBA,1024,,0.001661,3.27e-07,8.559e-07,6.237e-16,2.629e-07,5.444e-07,4.158e-16
panda,CRBA,4096,,0.001999,3.375e-07,9.684e-07,7.267e-16,3.1e-07,6.538e-07,6.229e-16
panda,FD,1,2.556e-07,0.0008848,2.609e-07,5.708e-07,5.031e-16,2.609e-07,9.026e-07,4.574e-16
panda,FD,16,0.0007852,0.001159,2.852e-07,2.212e-06,1.221e-15,2.852e-07,1.134e-06,1.425e-15
panda,FD,64,0.0006249,0.001387,3.683e-07,1.056e-06,2.102e-15,1.785e-07,9.644e-07,2.002e-15
panda,FD,256,0.0005656,0.002486,3.017e-07,1.694e-06,2.376e-15,2.892e-07,1.408e-06,1.944e-15
panda,FD,1024,0.0004989,0.002157,1.758e-07,1.113e-06,1.927e-15,2.141e-07,2.303e-06,1.927e-15
panda,FD,4096,0.0008422,0.002509,2.799e-07,1.873e-06,2.85e-15,2.642e-07,2.561e-06,2.533e-15
panda,ID,1,1.566e-07,0.0001613,1.461e-07,7.838e-08,3.787e-16,1.461e-07,2.139e-07,2.524e-16
panda,ID,16,8.929e-05,0.0005371,1.169e-07,3.601e-07,3.699e-16,1.169e-07,2.532e-07,2.466e-16
panda,ID,64,9.051e-05,0.0004899,1.817e-07,2.933e-07,2.816e-16,1.817e-07,1.409e-07,2.816e-16
panda,ID,256,0.0001031,0.0009156,2.547e-07,4.199e-07,5.059e-16,2.547e-07,2.875e-07,3.372e-16
panda,ID,1024,0.0001115,0.001075,2.313e-07,4.758e-07,4.133e-16,2.313e-07,3.528e-07,2.756e-16
panda,ID,4096,0.0001057,0.0008496,2.056e-07,4.605e-07,3.494e-16,2.056e-07,4.008e-07,3.494e-16
panda,MINV,1,,,2.37e-07,,,2.37e-07,,
panda,MINV,16,,,2.634e-07,,,2.634e-07,,
panda,MINV,64,,,3.953e-07,,,2.015e-07,,
panda,MINV,256,,,4.052e-07,,,4.027e-07,,
panda,MINV,1024,,,4.773e-07,,,4.773e-07,,
panda,MINV,4096,,,4.144e-07,,,4.247e-07,,
