robot,op,batch,brax,frax,grid_rbd,mjx,pinocchio,pyroffi_grid,pyroffi_jax,rbdl
g1,FD,1024,2.5285,1.3484,1.5384,2.1132,17.6487,1.4384,1.5783,7.8533
g1,FD,4096,6.7523,3.44,5.7801,4.5154,70.5653,5.3481,4.4396,31.5031
g1,FDdu,1,,,0.4134,,,0.3974,,
g1,FDdu,16,,,0.4346,,,0.4164,,
g1,FDdu,64,,,0.4349,,,0.402,,
g1,FDdu,256,,,1.3081,,,1.2408,,
g1,FDdu,1024,,,4.7777,,,4.5462,,
g1,FDdu,4096,,,18.8061,,,17.6308,,
g1,ID,1,0.972,0.4057,0.1898,0.7954,0.0142,0.1827,0.3826,0.0051
g1,ID,16,1.1576,0.5105,0.203,0.7698,0.2167,0.1848,0.5088,0.0584
g1,ID,64,1.2031,0.5262,0.2025,0.8628,0.8821,0.1751,0.5633,0.2388
g1,ID,256,1.2831,0.6011,0.3229,1.0841,3.5086,0.29,0.6689,0.9673
g1,ID,1024,1.6316,0.8371,0.8955,1.6261,13.9582,0.7966,0.9893,3.8915
g1,ID,4096,3.4755,1.8433,2.7927,3.0028,55.4279,2.6384,2.3299,15.5382
g1,IDdu,1,,,0.2685,,,0.2449,,
g1,IDdu,16,,,0.2765,,,0.2587,,
g1,IDdu,64,,,0.2841,,,0.2535,,
g1,IDdu,256,,,0.7411,,,0.6839,,
g1,IDdu,1024,,,2.5575,,,2.3367,,
g1,IDdu,4096,,,10.3132,,,8.9324,,
g1,MINV,1,,,0.1909,,,0.1769,,
g1,MINV,16,,,0.2011,,,0.1787,,
g1,MINV,64,,,0.208,,,0.1891,,
g1,MINV,256,,,0.3819,,,0.3357,,
g1,MINV,1024,,,1.2344,,,1.093,,
g1,MINV,4096,,,5.3004,,,3.9416,,
panda,CRBA,1,,0.1308,0.0954,0.2741,0.0092,0.1873,0.1513,0.0018
panda,CRBA,16,,0.174,0.0978,0.262,0.1338,0.185,0.1934,0.0227
panda,CRBA,64,,0.1703,0.1003,0.2976,0.5494,0.1966,0.192,0.0891
panda,CRBA,256,,0.1787,0.1385,0.3243,2.1517,0.2376,0.2277,0.3571
panda,CRBA,1024,,0.215,0.2491,0.3571,8.5803,0.6831,0.2908,1.4694
panda,CRBA,4096,,0.3799,0.6594,0.5363,34.4274,2.4413,0.5808,5.9417
panda,FD,1,0.413,0.2686,0.1479,0.4809,0.0091,0.1435,0.2951,0.003
panda,FD,16,0.4778,0.2834,0.1495,0.5275,0.1388,0.1348,0.3225,0.0407
panda,FD,64,0.487,0.3169,0.1497,0.5053,0.5691,0.1492,0.3286,0.1623
panda,FD,256,0.4918,0.3533,0.1745,0.5663,2.2365,0.1531,0.3824,0.6631
panda,FD,1024,0.6255,0.4216,0.351,0.6473,8.9522,0.3162,0.5107,2.6443
panda,FD,4096,1.0911,0.7494,0.9778,0.9225,35.2791,0.9517,0.9548,10.5613
panda,FDdu,1,,,0.1847,,,0.1848,,
panda,FDdu,16,,,0.1844,,,0.1752,,
panda,FDdu,64,,,0.1909,,,0.1868,,
panda,FDdu,256,,,0.3161,,,0.2902,,
panda,FDdu,1024,,,0.6822,,,0.6477,,
panda,FDdu,4096,,,2.1303,,,2.1055,,
panda,ID,1,0.3194,0.1612,0.1384,0.3735,0.0085,0.112,0.1872,0.002
panda,ID,16,0.3971,0.2034,0.1268,0.3463,0.1265,0.1118,0.2211,0.0249
panda,ID,64,0.3864,0.2208,0.1333,0.4147,0.5062,0.1231,0.2272,0.0995
panda,ID,256,0.3845,0.2361,0.1505,0.454,2.037,0.129,0.272,0.4046
panda,ID,1024,0.5112,0.2958,0.2494,0.5504,8.0189,0.226,0.3564,1.6342
panda,ID,4096,0.8251,0.4751,0.6242,0.7082,31.8142,0.549,0.6688,6.537
panda,IDdu,1,,,0.1488,,,0.1278,,
panda,IDdu,16,,,0.1496,,,0.1259,,
panda,IDdu,64,,,0.1516,,,0.1364,,
panda,IDdu,256,,,0.1729,,,0.1906,,
panda,IDdu,1024,,,0.3621,,,0.3751,,
panda,IDdu,4096,,,1.003,,,1.0936,,
panda,MINV,1,,,0.1052,,,0.0963,,
panda,MINV,16,,,0.1076,,,0.1007,,
panda,MINV,64,,,0.1059,,,0.0982,,
panda,MINV,256,,,0.1334,,,0.1227,,
panda,MINV,1024,,,0.2513,,,0.2419,,
panda,MINV,4096,,,0.7037,,,0.6859,,
