batch,jax_ms,cuda_ms,speedup,max_abs_err,passed
1,0.1534412513137795,0.05234606214798987,2.9312854686180394,1.1664063570560046e-07,True
16,0.16510481145814992,0.0472126885142643,3.4970432028726144,2.5079252385928896e-07,True
64,0.16711268472135998,0.05782856169389561,2.8897949356917936,2.907771993188035e-07,True
256,0.1686318137217313,0.04716031617135741,3.5757142320464133,4.872274383949105e-07,True
1024,0.20671274614869617,0.05342849908629432,3.8689603803922483,4.238178428206396e-07,True
4096,0.36591593743651174,0.045012686314294115,8.12917351525213,5.08514334543464e-07,True
8192,0.5691191872756463,0.06971906259423122,8.163035561564435,4.7404075942392154e-07,True
16384,0.9561796250636689,0.0971841873251833,9.838839541501155,5.626785233581177e-07,True
32768,1.7736368754412979,0.14149843627819791,12.534674743360256,5.474942424976703e-07,True
65536,3.5793135029962286,0.2407953143119812,14.864547980193539,5.49652585224436e-07,True
131072,7.238263562612701,0.4459366209630389,16.23159709776928,5.681679750152435e-07,True
262144,15.283839937183075,0.778503374021966,19.632336155747772,6.438498243999113e-07,True
524288,32.14675637354958,1.4814733112871181,21.699180220546918,6.11132029232353e-07,True
1048576,64.54143168230075,2.865535563614685,22.52333996542202,6.710739879900451e-07,True
